Finished,User Language,"If the UU offered an optional physical student card, would you request it?",Why? - Selected Choice,Why? - Another reason: - Text,"If you could request a physical student card but would have to contribute towards the cost of printing it, would you?",How much would you be willing to pay?,"Do you have any comments, suggestions, or questions regarding the digital-only student card policy of the UU? (optional)"
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,All of the above",,Yes,,
True,EN,Yes,All of the above,,Yes,,
True,EN,Maybe,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university",,Maybe,Between 5 and 10 EUR,"Best of luck victor, much love"
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G",,Yes,Less than 5 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G",,Maybe,Less than 5 EUR,
True,EN,Yes,All of the above,,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,More than 15 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure",,Yes,Between 5 and 10 EUR,"I'd love the ""opt in"" version where you can pay a bit of money and get the card. Would also be awesome if the library could use it as well as the printers. It has to be opt in, cause I think many students don't care for one (or would lose it), but I lost the one I had as a TA and have been missing it a bunch ever since. Also when traveling and needing to verify student status they often don't agree with a online document :("
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Maybe,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,I think physical objects are important to maintain as an asset class for humanity. I think being a student at UU is valuable enough to warrant more than a digital value in 1s and 0s. Do not use plastic waste as an excuse to digitalize every aspect of society. 
True,EN,Yes,All of the above,,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Less than 5 EUR,
True,EN,Yes,All of the above,,Yes,Between 10 and 15 EUR,
True,EN,Maybe,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G",,No,,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Less than 5 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,Another reason:",Also easier to prove/show you are a student for gettings discounts for e.g. excursions,Yes,Between 5 and 10 EUR,
True,EN,Yes,All of the above,,Yes,Less than 5 EUR,I’d love to have a physical card.
True,EN,No,,,No,,I think it’s a great environmental choice for the cards to be digital.
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Yes,All of the above,,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G",,Yes,Between 5 and 10 EUR,
True,EN,No,,,No,,I think making it necessary to have a smartphone is badd :(
True,EN,No,,,Maybe,Between 5 and 10 EUR,"Getting a personal physical card should be an option for students, but certainly not treated as a default."
True,EN,Yes,"All of the above,Another reason:","Also nice for discounts in other countries. It has happened to me that they would not accept my digital card as proof of being a student, and that I missed out on deals/opportuniteit to visit musea for example or other cultural activities. ",Yes,Less than 5 EUR,
True,EN,Maybe,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure",,No,,
True,EN,Yes,"I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Maybe,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Between 5 and 10 EUR,I do not like it
True,EN,Yes,"I want to spend less time on my phone,I think the university should be less dependent on digital infrastructure,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 10 and 15 EUR,
True,EN,No,,,No,,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Maybe,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,No,,
